;input;path;Lev;generated
358;mouse 4 3;О Ф Х А К И М Я Г З У Щ Т Щ У З Г Я М Я Э В Э М Ф Х К И Ф Ц Г Ц Ф М И Л Е Р Е Л К А Х Ц Г Я М И К А Х Ц Г З У З Г Я М И М И М О Ы О И Л Е Р Ш С Д А Х Ц Г Я Э Ж Т;72; О Ф Х А К И М Я Г Т
359;mouse 4 4;О Ф Х А К И М Я Г З У Щ Т Щ У З Г Ц Ф Ц Г Я Э Ж Щ У Щ Т Ж Э М И К А Д А Х Ф И Л И Ф Х А К И М Я Г Ц Х А К И Ф Ц Г Я Э Ж Т Щ У З Г З У Щ Т Ж Э Я Ц Х К Л И О Ы О И К А Х Ц З У Щ Т;80; О Ф Х А К И М Я Г Т
360;mouse 6 5;К А Х Ц Г Ц Ф И Л;8; О Ф Х А К И М Я Г Т
361;mouse 6 1;О И К А Х Ф М Я Г Я Э Ж Т Щ У З Ц Х А К Л Е Р Е Л И М Э Я Ц Х К И М И К А Д С Ш Р;33; О Ф Х А К Л Е Р Т
362;mouse 6 2;О Ф Х А Х К И Ф Х А Х Ц Г Я Э Я Г Я М О Ы О Ф Х Ц Г З У Щ Т Щ У З Г Ц Х А К И М И К А Д А Х Ц Г З У Щ Т;44; О Ф Х А К И М Я Г Т
363;mouse 6 3;О Ф Х А К И М Я Г З У Щ Т;4; О Ф Х А К И М Я Г Т
364;mouse 6 4;О Ф Х А Х Ц Г Я М И Л Б Л К А Х Ц Г Ц Ф М Я Г Ц Х А К Х Ф Х А Д Х Ц Г З У Щ Т Щ У З Я М И Л К А Х Ц З У З Ц Х К Х К И М И Л Е Р;56; О Ф Х А К И М Я Г Т
365;mouse 6 5;О Ф Х А К И М Я Г Я М И К А Х Ц Г Я М И К А Х Ц Г Я Э М И К А К Л К А Д С Ш С Д А Х Ц Г Я Г З У Щ Т Щ У З Г Ц Ф И К А Х Ц Г Я М И Л Е Р;59; О Ф Х А К И М Я Г Т
366;mouse 6 6;О Ф Х А К И Л Е Р;3; О Ф Х А К И М Я Г Т
367;mouse 6 7;О Ф;7; О Ф Х А К И М Я Г Т
368;mouse 6 7;И Л Е Р Ш С Д С Ш Р Е Р Ш С Д А Х Ц Г Я М О Ы О И К А Х А К Х Ц Г З У Щ У З Г Ц Г Я М И К А Х Ц Г Ц Х А К И М Я Г Я М И Л К А К И М Э В Э М И Л И М Я Г З У Щ Т К О Е Ц О Ы Т О Г О В Р Е М Е И;88; О Ф Х А К И М Я Г Т
369;mouse 5 1;О И К А Х Ц Г З У Щ Т Ж Э М И К А Х Ц Я Э М О Ы О И Л Е Р Ш С Д Х Ц З У Щ Т;32; О Ф Х А К Л Е Р Е Т
370;mouse 5 2;О Ф Х А К И Ф Ц Г Я М Ф Х А Х Ц Г З У Щ Т Ж Э М И К А Х Ф Ц Х К И Ф Х А Д С Ш Р Ш С Д К И М Э Я Г З У Щ Т Щ У З Ц Ф М И Л Б Л И Ф Х А К И О Ы О М И Л Е Р Е Л И М Я Г Ц Х А Д С Ш Р;81; О Ф Х А К И М Я Г Т
371;mouse 5 3;О Ф Х Ф И К А Х Ц Г Я Э М Ф Ц З У З Ц Х А К И М Я Г Ц Х А К И Ф Ц Х Ф Х А К И М Э М И Л Е Р Е Л И М Я Г Ц Х А К И М Я Г Ц Ф И Л Е Р;57; О Ф Х А К И М Я Г Т
372;mouse 5 4;О Ф Х А Д С Ш Р Ш С Д А Х Ц Г Я М И К А Х Ц Г Я Э М И Л Б Е Р;25; О Ф Х А К И М Я Г Т
373;mouse 5 5;О Ф Х А К И К А К А Х Ф Х Ц Г Я Г Ц Г З У Щ Т;15; О Ф Х А К И М Я Г Т
374;mouse 9 8;О Ф Ц Г;5; О Ф Х А Х Ц Г Я М Т
375;mouse 9 1;О Ф Х А Х Ц Г З У Щ Т;7; О Ф Х А К И М Я Г Т
376;mouse 9 2;О Ф Х А К Л И М Я Г Ц Х А К И О Ы О Ф Х А Х Ц Г Я М И Л Е Р;21; О Ф Х А К И М Я Г Т
377;mouse 9 3;О Ф Х А Д С Ш Р Ш С Д А Х Ц Г Я М И Л Е Р;16; О Ф Х А К И М Я Г Т
378;mouse 9 4;О Ф Х А Х Ц Г Я Э Ж Т Ж Э М И К А Х Ц Г З У Щ Т;15; О Ф Х А Х Ц Г Я М Т
379;mouse 9 5;О И К А Х Ц Г Я Г Я Э М И К А Х Ц Г Ц Х А К И М Я Г Ц Х Ф И Л Е Р;26; О Ф Х А Х Ц Г Я М Т
380;mouse 9 6;О Ф Х А Х Ф И Л Е Р;5; О Ф Х А Х Ц Г Я М Т
381;mouse 9 7;О И К А Х Ц Г З У Щ Т Щ У З Г Ц Х А К И О Ы О И К А Х Ц Г Я М И К Л К А Х Ц Г Ц Х А К Д С Ш Р;39; О Ф Х А Х Ц Г Я М Т
382;mouse 9 8;Ц Ф И М Я Г Я М И К А Х А К Л Е Р Е Л К А Х А Х Д С Ш Р Ш С Д А Х Ц Г Я Э Ж Т;32; О Ф Х А Х Ц Г Я М Т
383;mouse 9 9;О И К А Х Ц Г Я Э Ж Т Ж Э М И Л Е Р;11; О Ф Х А Х Ц Г Я М Т
384;mouse 9 10;О Ф Х А Х Ц Г Я М И К А Х Ц Г Я М И К А Х Ц Г Я М О И Л Е Р;21; О Ф Х А Х Ц Г Я М Т
385;mouse 9 11;О Ф Х А Х Ц Г Я Э Ж Т;3; О Ф Х А Х Ц Г Я М Т
386;mouse 9 12;О И К А Х Ц Г Я М Ф Х А Х Ф И Л Е Р;11; О Ф Х А Х Ц Г Я М Т
387;mouse 9 13;О И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
388;mouse 9 14;О Ф Х А Х Ф И К А Д С Ш Р Е Б Л И К А Х Ц Г Я Э Ж Т Щ Т;20; О Ф Х А Х Ц Г Я М Т
389;mouse 9 15;О И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
390;mouse 9 16;О Ф Х А Х Ц Г Я Э Я Г Ц Х А К И Ф Ц Г Ц Ф М Я Г Ц Х А К Л К А Х Ц Г Я М И К А Д С Ш Р Ш С Д А Х Ц Г З У Щ Т;45; О Ф Х А Х Ц Г Я М Т
391;mouse 7 1;О Ф Х А К И М Я Г Ц Х А К Л Е Р;8; О Ф Х А К Л Е Р Т
392;mouse 7 2;О Ф Х А К И М Я Г З У Щ Т Щ У З Г Ц Х А К А Х Ц Г Ц Х А Х Ф О Ы О И Л Е Р Ш С Д С Ш Р;34; О Ф Х А К И М Я Г Т
393;mouse 7 3;О Ф Ц Г Я Э М И К А Х Ц Г Я Э М И К А К И М Я Г З У Щ Т;19; О Ф Х А К И М Я Г Т
394;mouse 7 4;О Ф Х А К И Ф Х А Х Ц Х Ц Я Г З У Щ Т Щ У З Г Ц Х А К Л Е Р Е Л И М Я Г Я М И К А Х Ц Г Ц Х К И М Э В Э М И Л Е Р;48; О Ф Х А К И М Я Г Т
395;mouse 7 5;О Ф Х А Х Ц Г Я М И Л И М И Л Е Р;11; О Ф Х А К И М Я Г Т
396;mouse 7 6;О Ф Х А Х Ц Г Я Ц Х А Х Ц З У Щ Т Щ У З Г Ц Х А Д С Ш Р Ш С Д Х Ц Х Д С Ш С Д А Х Ц Г Я М И К А Х Ф О Ы О М Я Г Я Э Ж Т Щ У З Г Ц Ф М Я М И Л Е Р Е Л К А Х Ц Г Я М И К А К И Ф Х А Д С Ш Р;86; О Ф Х А К И М Я Г Т
397;mouse 7 7;О Ф Х А Х Ц Г Я М И К А Х Ф И Л Е Р;10; О Ф Х А Х Ц Г Я Э Т
398;mouse 7 8;О Ф И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
399;mouse 7 9;О М И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
400;mouse 7 10;О Ы О И К А Х Ц Г З У Щ Т;8; О Ф Х А Х Ц Г Я М Т
401;mouse 7 11;О Ф Х А К Х Ц Г Я М И К А Х Ц Г З У Щ Т Ж Э Я Ц Х А К И Л К А Х Ц Г Я М И Л И Л Е Р;33; О Ф Х А Х Ц Г Я М Т
402;mouse 7 12;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я М Т
403;mouse 12 6;О Ф Х А Х Ц Г Я М И К А Д А Х Ц Г З У Щ Т;12; О Ф Х А Х Ц Г Я М Т
404;mouse 12 1;О Ф Х А К И М Я Г Ц Х А К И М Я Г Ц Х А К И М Я Г Ц Х А К И М Я Г Ц Ф И Л Е Р;30; О Ф Х А К И М Я Г Т
405;mouse 12 2;О Ф Х А К И М Я Г Ц Ф И Л Е Р;10; О Ф Х А Х Ц Г Я Э Т
406;mouse 12 3;О Ф Х А К И М Я Г З У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
407;mouse 12 4;О Ф Х А К И М Я Г Ц Х А К И Ф Ц Г Я М И Л Е Р;15; О Ф Х А Х Ц Г Я Э Т
408;mouse 12 5;О Ф Х А К И Ф Ц Г Я М И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
409;mouse 12 7;О Ф Х А К И Ф Ц Г Я М И К А Х Ц Г Я Э Ж Т;13; О Ф Х А Х Ц Г Я М Т
410;mouse 12 8;О Ф Х А К И Ф Ц Г Я Г Я Э Ж Т Щ У З Г Ц Х А Х Ц Г Ц Х А Д С Ш Р;25; О Ф Х А Х Ц Г Я М Т
411;mouse 12 9;О Ф Х А Х Ц Г Я М О Ы О И К А Д С Ш Р;10; О Ф Х А Х Ц Г Я М Т
412;mouse 12 10;О Ф Х А К И М Я Г З У Щ Т;8; О Ф Х А Х Ц Г Я М Т
413;mouse 12 11;О Ф Х А К И М Я Г Ц Ф Ц Г Ц Ф М Я Г Ц Х А К И М Э Ж Т;19; О Ф Х А Х Ц Г Я М Т
414;mouse 12 12;О Ф Х А К И Ф Ц Г Ц Х А Х Ф М Я Г Ц Х А К И Ф Х А Х Ц Г З У Щ Т;25; О Ф Х А Х Ц Г Я М Т
415;mouse 12 13;О Ф Х А К И Л Е Р;5; О Ф Х А Х Ц Г Я М Т
416;mouse 12 14;О Ф Х А К И Ф Ц Г Ц Ф М Я Г Ц Ф О Ы О И К А Д С Ш Р;19; О Ф Х А Х Ц Г Я М Т
417;mouse 12 15;О Ф Х А К И М Я Г Ц Ф Х А Х Ц Г Ц Х А Х Ц Г З У Щ Т;19; О Ф Х А Х Ц Г Я Э Т
418;mouse 12 16;О И К А Х Ц Г З У Щ Т;6; О Ф Х А Х Ц Г Я М Т
419;mouse 12 17;О Ф Х А К И М Я Г Ц Ф И Л Е Р;10; О Ф Х А Х Ц Г Я Э Т
420;mouse 12 18;О Ф Х А К И М Я Г Ц Ф И Л Е Р;10; О Ф Х А Х Ц Г Я Э Т
421;mouse 12 19;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
422;mouse 12 20;О Ф Х А К И Ф Ц Г Ц Х А К Л Е Р;10; О Ф Х А Х Ц Г Я Э Т
423;mouse 12 21;О Ф Х А К И М Я Г Я Э Ж Т;6; О Ф Х А Х Ц Г Я Э Т
424;mouse 12 22;О Ф Х А Д С Ш Р Ш С Д А Х Ц Г Я М И К А Х Ц Г З У Щ Т;19; О Ф Х А Х Ц Г Я Э Т
425;mouse 12 23;О И К А Х Ц Г Я М И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
426;mouse 12 24;О Ф Х А Х Ц Г Я М Я Г Я М И К А К И Л Е Р;13; О Ф Х А Х Ц Г Я Э Т
427;mouse 12 25;О Ф Х А Х Ц Г Я М И Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
428;mouse 12 26;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
429;mouse 12 27;О Ф Х А Х Ц Г Я М И М Я Г З У Щ Т;9; О Ф Х А Х Ц Г Я Э Т
430;mouse 12 28;О Ф Х А К И Ф Ц Г Ц Г Ц Я М И К А Х Ц Г Я М И К А Д С Ш Р Е Л И М Я Г Ц Ф М Я Г Я Э Ж Т;35; О Ф Х А Х Ц Г Я Э Т
431;mouse 8 1;О Ф Ц Г Я М О Ы О И К А К Л Е Р;9; О Ф Х А К Л Е Р Т
432;mouse 8 2;О Ф Х А Х Ц Г Я Э Ж Т Ж Э М И К А Х Ц Х А К Л И М Я Г Ц Ф И К А Х Ц Г З У Щ Т;30; О Ф Х А К И М Я Г Т
433;mouse 8 3;О Ф Х А Х Ц Г Я М И К А Х Ц Х К А Д С Ш Р;16; О Ф Х А К И М Я Г Т
434;mouse 8 4;О Ф Х А Х Ц Г Я Э М И М Э В Э М И Л Е Р Ш С Д А Х Ц Г Я М И Л Е Р;26; О Ф Х А К И М Я Г Т
435;mouse 8 5;О Ф Х А Х К И О Ы О Ф Ц Г Я Ц Х А К И М Ф Ц З У Щ Т;19; О Ф Х А К И М Я Г Т
436;mouse 8 6;О И К А Х Ц Г Я М Я Г Я М И Л Е Р Е Л И Ф Х А К И М Я Г Ц Х Ф И Л Е Р;28; О Ф Х А Х Ц Г Я М Т
437;mouse 8 7;О Ф Х А Х Ц Г Я Э М И К А Х Ц Г Я М И К А Х Ц Г Я М И К А Д Х Ц Г Я Э М И Л Е Р;31; О Ф Х А Х Ц Г Я М Т
438;mouse 8 8;О Ф Х А Х Ф О Ы О М Я Г Я М И К А Х Ц Г Я Э М И К А Д С Ш Р;21; О Ф Х А Х Ц Г Я М Т
439;mouse 8 9;О Ф Х А Х Ц Г Я Э Ж Т Щ У Щ У З Ц Ф М Я Г Ц Х А К Л Е Р;19; О Ф Х А Х Ц Г Я М Т
440;mouse 8 10;О Ф Х А Х Ц Г Я Э М И К А Х Ц Г Я М О Ы О Ф Х А Х Ц Г З У З Г Ц Х А К Л Е Р;29; О Ф Х А Х Ц Г Я М Т
441;mouse 8 11;О М Я Г Ц Х А К И М Я Г Я Э Ж Т Щ У Щ Т;15; О Ф Х А Х Ц Г Я М Т
442;mouse 8 12;О Ф Х А К И К Х Ц Г Я М И К А Д С Ш Р Ш С Д А Х Ф М Э Ж Т Щ У З Г Ц Х А Х Ф Ц Г Ц Х А К Х Ф Ц Х А К Х Ф Ц Г Я Ц Х К А Х Ф Х Ц Ф И К А Х Ц Г Я Э М И Л Е Р;68; О Ф Х А Х Ц Г Я М Т
443;mouse 10 1;О Ф Х А К И М Я Г Ц Х А К Л И М Я Г Ц Х А Д С Ш Р;16; О Ф Х А К И М Я Г Т
444;mouse 10 2;О Ф Х А К И М Я Г Ц Г З У Щ Т;6; О Ф Х А К И М Я Г Т
445;mouse 10 3;О Ф Х А К И М Э Ж Т Щ У Щ Т Щ У З Г Ц Ф О Ы О М Я Г Ц Х Д С Ш Р;26; О Ф Х А Х Ц Г Я Э Т
446;mouse 10 4;О Ф Х А К Д А Х Ц Х Ф М Я Г Ц Х А К И М Я Г Ц Г Я Э Ж Т Ж Э Я Г Ц Х А К Д С Ш Р Ш С Д А Х Ц Г Я М Ф Х А Х Ц Г З У Щ Т;50; О Ф Х А Х Ц Г Я М Т
447;mouse 10 5;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
448;mouse 10 6;О Ф Х А К И М Я Г З У Щ Т;8; О Ф Х А Х Ц Г Я М Т
449;mouse 10 7;О Ф Х А Х Ц Г Я Э В Э М И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
450;mouse 10 8;О Ф Х А К И М Я Г Я М И К А Д С Ш Р Ш С Д А Х Ц Г Ц Ф Х А К Х Ц З У Щ Т;29; О Ф Х А Х Ц Г Я М Т
451;mouse 10 9;О Ф Х А К Л Е Р Е Л И М Я Г Ц Ф Х А Х Ц Г Я М О Ы О И Л Е Р;21; О Ф Х А Х Ц Г Я М Т
452;mouse 10 10;О М Я Г З У Щ Т;8; О Ф Х А Х Ц Г Я М Т
453;mouse 10 11;О И Л Е Р;8; О Ф Х А Х Ц Г Я Э Т
454;mouse 10 12;О Ф Х А Х Ц Г Я М И К А Д С Ш Р;7; О Ф Х А Х Ц Г Я М Т
455;mouse 10 13;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
456;mouse 10 14;О Ф Х А К И М Я Г Ц Ф М Я Г Ц Х Ц Г Ц Я Э Ж Т;14; О Ф Х А Х Ц Г Я Э Т
457;mouse 10 15;О И К А Х Ц Г Я М О Ы О И Л Е Р;10; О Ф Х А Х Ц Г Я Э Т
458;mouse 10 16;О Ф Х А Х Ц Г Я М И Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
459;mouse 10 17;О Ф Х А К А Д С Ш Р;6; О Ф Х А Х Ц Г Я Э Т
460;mouse 10 18;О Ф Х А К Л Е Р Ш С Д А К Л Б Е Р Е Л И М Я Г Ц Ф М Э Ж Т;23; О Ф Х А Х Ц Г Я Э Т
461;mouse 10 19;О Ф Х А Д С Ш Р Ш С Д С Ш Р;10; О Ф Х А Х Ц Г Я Э Т
462;mouse 10 20;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
463;mouse 11 1;О Ф Х А Д С Ш Р Е Л И М Я Г Я М И Л Е Р;12; О Ф Х А К И М Я Г Т
464;mouse 11 2;О Ф Х А Д С Ш Р Ш С Д Х Ц Г З У Щ Т Щ У З Г Ц Х А К И М Я Г Ц Х К И М Я Г Ц Х А Д С Ш Р;35; О Ф Х А К И М Я Г Т
465;mouse 11 3;О Ф Х А К И М Я Г Ц Х А К И Ф Ц Г Ц Ф И Л И Ф Х А К И Ф Ц Г З У Щ Т;27; О Ф Х А Х Ц Г Я Э Т
466;mouse 11 4;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
467;mouse 11 5;О Ф Х А Д А Х Ц Г Я М И К А Д С Ш Р Ш С Д А Х Ц Г З У З Г Ц Ф О Ы О М Я Г Ц Ф М Э Ж Т Щ У З Г Ц Ф М И К А Д С Ш Р;48; О Ф Х А Х Ц Г Я Э Т
468;mouse 11 6;О Ф Х А Х Ц Г Я М И Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
469;mouse 11 7;О Ф Х А Х Ц Г Ц Ф Х А Д А Х Ц Г З У Щ Т Щ У З Г Ц Ф Ц Ф И К А Д С Ш Р;28; О Ф Х А Х Ц Г Я М Т
470;mouse 11 8;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
471;mouse 11 9;О Ф Х А Х Ц Г З У Щ Т Щ У З Г Ц Х А К И М Я Г Я Э М И Л Е Р;21; О Ф Х А Х Ц Г Я М Т
472;mouse 11 10;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
473;mouse 11 11;О Ф Х А К И М Я Г З У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
474;mouse 11 12;О Ф Х А К И Ф Х А Х Ц Г Ц Г З У Щ Т Щ У З Г Ц Ф Х А К Л Е Р;23; О Ф Х А Х Ц Г Я М Т
475;mouse 11 13;О Ф Х А Х Ц Г З У Щ Т Щ У З Г Ц Ф;10; О Ф Х А Х Ц Г Я М Т
476;mouse 11 13;М И Л Е Р;9; О Ф Х А Х Ц Г Я М Т
477;mouse 11 14;О Ф Х А Д С Ш Р;5; О Ф Х А Х Ц Г Я Э Т
478;mouse 11 15;О Ф Х А Х Ф М Я Г З У Щ Т Щ У З Г Ц Х А К И М Я Г Ц Ф И Л Е Р;24; О Ф Х А Х Ц Г Я Э Т
479;mouse 11 16;О Ф Х А Х Ц Г З У Щ Т Щ У З Г Ц Х А Д С Ш Р;15; О Ф Х А Х Ц Г Я Э Т
480;mouse 11 17;О Ф Х А Х Ц Г З У Щ Т;4; О Ф Х А Х Ц Г Я Э Т
481;mouse 11 18;О И К А Д С Ш Р Ш С Д А Х Ц Г Я М И К А Д С Ш Р;18; О Ф Х А Х Ц Г Я Э Т
482;mouse 14 19;О Ф Х А Х Ц Г;2; О Ф Х А Х Ц Г Я Э Т
483;mouse 14 1;О Ф Х А К И М Я Г Ц Х А К И М Я Г Я Э Ж Т;12; О Ф Х А К И М Я Г Т
484;mouse 14 2;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я Э Т
485;mouse 14 3;О Ф Ц Г З У Щ Т;7; О Ф Х А Х Ц Г Я Э Т
486;mouse 14 4;О Ф Х А Х Ц Г Я М И К А Д С Ш Р;8; О Ф Х А Х Ц Г Я Э Т
487;mouse 14 5;О Ф Ц Г Я М И Л Е Р;7; О Ф Х А Х Ц Г Я М Т
488;mouse 14 6;О Ф Ц Г Ц Х А К И О Ы О М Я Г Ц Х А К И М Я Г З У Щ Т;21; О Ф Х А Х Ц Г Я Э Т
489;mouse 14 7;О Ф Х А Х Ц Г Ц Ф О Ы О И К А Д С Ш Р;12; О Ф Х А Х Ц Г Я Э Т
490;mouse 14 8;О Ф Ц Г Я М И К А Х Ц Г Я М И Л Е Р;10; О Ф Х А Х Ц Г Я М Т
491;mouse 14 9;О Ф Ц Г Я Э Ж Т Щ У Щ Т;9; О Ф Х А Х Ц Г Я Э Т
492;mouse 14 10;О И К А Х Ц Г Ц Ф Х А К И К А Д С Ш Р;14; О Ф Х А Х Ц Г Я Э Т
493;mouse 14 11;О Ф Ц Г Я М Ф Х А Х Ц Г Ц Х А К Л Е Р;12; О Ф Х А Х Ц Г Я Э Т
494;mouse 14 12;О Ф Ц Г Ц Ф М Я Г Ц Х А Х Ф Х Ф И К А Х Ц Г З У Щ Т Щ У З Г Ц Ф И Л Е Р;29; О Ф Х А Х Ц Г Я М Т
495;mouse 14 13;О Ф Х А Х Ц Г Я М Я Г Ц Х А К И М Я Г Я Э Ж Т;14; О Ф Х А Х Ц Г Я Э Т
496;mouse 14 14;О И К А Х Ц Г Я М И Л Е Р;7; О Ф Х А Х Ц Г Я Э Т
497;mouse 14 15;О Ф Х А Х Ц Г Ц Х А Д С Ш Р;7; О Ф Х А Х Ц Г Я Э Т
498;mouse 14 16;О Ф Ц Г Я Э М И К А Х Ц Г Я М И Л Е Р;12; О Ф Х А Х Ц Г Я Э Т
499;mouse 14 17;О Ф Х А Х Ц Г Я М И К А Д С Ш Р;7; О Ф Х А Х Ц Г Я М Т
500;mouse 14 18;О Ф Ц Г Я М И К А Д С Ш Р;11; О Ф Х А Х Ц Г Я Э Т
501;mouse 14 19;Ц Ф Ц З У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
502;mouse 14 20;О Ф Х А Х Ц Г Я Э Ж Т Щ У З Г Ц Х А К Л Е Р;13; О Ф Х А Х Ц Г Я Э Т
503;mouse 14 21;О Ф Ц Г Ц Х А К И М Я Г З У Щ Т;11; О Ф Х А Х Ц Г Я Э Т
504;mouse 14 22;О Ф Х А К Д Х Ц Г Я Э Ж Т Щ У Щ Т;8; О Ф Х А Х Ц Г Я Э Т
505;mouse 14 23;О Ф Х А Х Ц Г Ц Ф И К А Х Ц Г Ц Ф О Ы О И Л Е Р;17; О Ф Х А Х Ц Г Я Э Т
506;mouse 13 1;О Ф Х А К И М Я Г З У Щ Т Ж Э М И Л Е Р;11; О Ф Х А К И М Я Г Т
507;mouse 13 2;О Ф Х А К И М Я Г Ц Х А К И М Я Г Ц Ф И Л Е Р;17; О Ф Х А Х Ц Г Я Э Т
508;mouse 13 3;О Ф Х А Д А Х Ц Г З У Щ Т;6; О Ф Х А Х Ц Г Я Э Т
509;mouse 13 4;О Ф Х А К И М Я Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
510;mouse 13 5;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
511;mouse 13 6;О Ф Х А К И Ф Ц Г Я М И Л Е Р Е Л И Ф Ц З У Щ Т Щ У З Г Я Ц Ф М Я Г Ц Х А К И Ф Ц Г Ц Х Ц Я М И К А Д С Ш Р;45; О Ф Х А Х Ц Г Я М Т
512;mouse 13 7;О Ф Х А К И М Я Г Ц Х А К И М Я Г Я Э Ж Т;14; О Ф Х А Х Ц Г Я М Т
513;mouse 13 8;О И К А Х Ц Г Я М И Л Е Р;6; О Ф Х А Х Ц Г Я М Т
514;mouse 13 9;О Ф Х А К И М Я Г Я М И Л Е Р;8; О Ф Х А Х Ц Г Я М Т
515;mouse 13 10;О Ф Х А К Л Е Р;5; О Ф Х А Х Ц Г Я М Т
516;mouse 13 11;О Ф Х А Х Ц Г Я М И Л Е Р;4; О Ф Х А Х Ц Г Я М Т
517;mouse 13 12;О Ф Х А Х Ф М Я Г Я Э Ж Т Щ У З Г Ц Х А Д Х Ц Г З У Щ Т Щ У З Г Ц Х А К Д С Ш Р;33; О Ф Х А Х Ц Г Я М Т
