;input;path;generated;Lev
27;fish 12 2; О Ф Х Ш А Д С С Д А Ш Х Ц Щ З З Щ Ц Х Ш А Ш Х Х Ш А Д С Е Л И Ф Х Х Ц Щ К Л Ж Ж Л К Г К Л Л К Г З С С З Щ Ц Х Ш А Ш Х Х Х Ф М К К К З С С С С З К Л Ж С С С С С С С С Ж В Л К З С С З Г Щ Ц Х Х Ц Щ Г З С Ж В Л К Щ Ц Ц Щ Г З С С С Ж Л М О О О О М Л Л К З С Т; О Ф Х Ш А Д С С С Т;119
28;fish 12 3; О И К А А А Д С С Д А Ш Х Ф Ф Х Ш А Д С С Д А А Д Д А Ш Х Ц Щ З С С С … Т; О Ф Х Ш А К К К К Т;32
29;fish 13 1; О И К А Д С С Д А Ш Х Ф Ф Ф Х Ш А Д Д Ш Х Х Х Х Ш А Д Д К Л Е С С С С Е Л И О О Ф Ф Ф Х Х Ц Щ З З Г К К Г Щ Ц Ф М Л В О Ж Т; О Ф Ф Х Ш А А А А Т;55
30;fish 13 2; О Ф Х Ш А Ш Х Х Ш А А А К К Д Д А Д С … Е Л К А Ш Х Ц Ц Ф Ф Ц Щ Г Ш Г Г К Л Л К З С Ж Л Л Л Л Л К Щ Ц Х Ш А А Ш Х Х Ш А А Д С С Д А Ш Х Ф Ф Ц Щ К К Щ Ц Х Х Ц Щ К К Щ Ц Х Ш А А А Д С Е Б Л Л Л И О О И К А Д С Е Л К А А Ш Х Ц Ц Х Х Ц Щ З З Щ Щ Г Ц Х Ш А Д С С С С С С С Р; О Ф Х Ш А А А А А Т;126
31;fish 13 3; О И Л Е С Д А К Л Л К К Л Е С С Р; О Ф Х Ш А А А А А Т;15
32;fish 14 1; О И К Д Д А А А Д С С Д А Д С С Д А А А Д Д А Д С С Д А А Ш Х Ц Ц Ф Ф Ф Ф Х Х Х Ш А Ш Х Х Ш А Д С С Д А Д Д А Д Д А Д С С Д А Д Д А Ш Х Ф Ф Х Ш А А Д С С Д К К Ш Ш А Д Д Д С С Д Д С Р; О Ф Х Ш А Д С Д С Т;83
33;fish 14 2; О Ф Ф О О И К Д С С Д А К К Д С С Д К А Ш К К И И К А Д С Е Л К А А Д С Е Л К Ш Х Ц Щ З С С З Г К К Г Г Г З С С З Щ Ц Х Ш А Д Д Ш Х Ц Щ З С С З Щ Ц Ц Щ К Л Л К Г З С С З К Л Л М И И К А А Д С Р; О Ф Х Ш А Д С Д С Т;88
34;fish 15 1; О Ф Ф О О Ф Х Ш А К К А Ш Х Ф Ф Х Ш Д С С Д А Ш Х Ц Щ Г К Л Ж С З З С Т; О Ф Х Ш А Д С С С Т;27
35;fish 15 2; О Ф Х Ш Д С С Е Л К Д С Е Л К А Ш Х Х Ш Д С С Д Ш Х Х Ш К К Д С Е Л К Ш Х Ц Ц Х Х Ц Щ Г К К З С Ж В Л Л В Л К Г З С С З К М И К А Д С Е Л К Ш Х Х Ш А Д С С С Е Р; О Ф Х Ш А Д С С Д Т;72
36;fish 15 3; О И Л Е С С Е Л К Ш Х Ц Щ Г К К Г З С С З Г З С С З Г Г З С С З Г Щ Ц Ц Щ К Л В Ж С З Г З С Т; О Ф Х Ш А К К К К Т;42
37;fish 16 1; О Ф Ф О О М М И К А Д С С Д А К К Д С С Д А Ш Х Х Ш А Д С С Д Ш Х Ф О О И К А Ш Ш Д С С Д Ш Х Ц Щ З С С З Г К К К Г З С Ж В Л М И Л Л И М М Л В В Ж Т Т С З Г Ш Ц Х Х Ц Ш З С С З Г К Л Ж Ж Л Л Ж Т; О Ф Х Ш А Ш А К К Т;89
38;fish 16 2; О М К Г К Л Л К Г Щ Ц Х Ш К К Д С С Д Ш Х Ц Щ Г К К З С С С С С С С С С Ж Л М О О И И И И И К А Ш Х Ф И Л Л К Д С Е Л К К К К Л Л И О О Ф Х Ш А Д Д А Ш Х Ц Щ З С Т; О Ф Х Ш А Д С С С Т;75
39;fish 17 1; О Ф Ф И К А Д Д Д Д Д С С Д А Ш Х Ф Ф Х Ш Д С С С С Д Ш Х Ф О О М Ж Т; О Ф Ф Ф Ф Ц Щ К Л Т;30
40;fish 17 2; О Ф Х Ш А К К А К Л Б Л К А Д С С Д А Д Д Ш Х Ц Щ З С Т; О Ф Ф Ф Х Ш А Ш А Т;24
41;fish 17 3; О Ф Ф И К А Д С С Д А К Л Е Р Р С Д А К К Ш Х Ц Щ Г Г Г Щ Ц Х Ш Д С С Д Ш Х Ф О О Ф Ф Ф Ц Щ З С Ж В Л К К Л Ж Т Т Т; О Ф Ф Ф Ф Ц Щ К Л Т;49
42;fish 17 4; О Ф Ф И К Ш Х Ф Ф Х Ш А К К Д С С Д А Ш Х Х Ш А Д С С Д К Л Е С С Е Л Л Е Р; О Ф Х Ш А Ш А К К Т;30
43;fish 17 5; О И М Л Ж С З К Л Ж С С Т; О Ф Ф Ф Ц Щ К Л Л Т;10
44;fish 17 6; О И Л Е С Д А А Ш Х Ф Ф Х Ш Ш Х Ц Щ Г Щ Г З С С З Ш Ц Х Ц Ш А К К Ш Х Ф О О М К Щ Ц Ц Щ Г З С Т; О Ф Ф Ф Ц Щ К Л Л Т;42
45;fish 18 1;У О М К К Л Ж С З Г З С С З Г К Л Л К Г З С С З Г К К Г З С С С С З Щ Ц Х Ш А К Л Б Л К А Д Д А Ш Х Ц Щ Г З С Ж Л М И И И К А А А Ш Х Х Ш Д С С Д А Ш Х Ф Ф Ц Ц Ф О О М К К Л Л К Г Г З С Т; О Ф Х Ш А Д С С С Т;86
46;fish 18 2; О Ф Ф Ф Х Х Ц Ц Х Ш А Д Д Д С С Д А К Л Л И И К Д С Е Л Л Е С С Е Л И И К Д С С Д А Ш Х Ф Ф Ф Ф Х Ш А Ш Х Х Ш А А Д С С Д Ш Х Ф Ф Ф Ф Ф И К Д Д А Д С С С С С С С Р; О Ф Х Ш А Д С С С Т;73
47;fish 19 1; О Ф Ф И К Д С С Д А Ш Х Ф О О И И К А Д С С Д Д С С Д Х Ф О О Ф Х Ш А А Д С С Д Ш Х Х Ш К Д Д А Ш Х Ц Щ Г Г Г Щ Ц Ц Щ Г К Л Ж Т; О Ф Ф Ф Ф Ф Ф Ф Ф Т;58
48;fish 19 2; О Ф Х Ш А А Ш Х Х Ш А К К А Д С С Д Ш Х Ц Щ Г Щ Ц Х Х Ц Г К Л Ж Т; О Ф Ф Х Ш А К К Л Т;25
49;fish 19 3; О Ф Ф И Л Б Л И М К Г Г К Л Л К З С Ж Л Л Ж С С Т; О Ф Ф Ф Х Ш А К К Т;20
50;fish 19 4; О О О Ф Ц Щ З С Г Щ Ц Х Щ А К К Ш Х Ц Щ Г Щ Ц Х Ш К Л Е Р; О Ф Х Ш А Ш А К К Т;23
51;fish 20 1; О И И Ф Ф О О И К А Д Д Ш Х Ф Ф М Л Л К Г Ш Ц Ц Ш Г З С Т; О Ф Ф Х Ш А Ш А К Т;23
52;fish 20 2;У О Ф Ф И И К А Д Д Ш Х Ц Ц Х Ш А Ш Х Ц Щ Г К К Г З С Т; О Ф Х Ш А Д С С С Т;22
53;fish 20 3; О Ф Х Ш А Д Д А К К Ш Х Ц Щ Г К М И К Ш Х Ц Щ З С С З Щ Ц Х Ш А К Л Е Р; О Ф Ф Х Ш А К К К Т;29
54;fish 20 4; О Ф Х Ш К К Ш Х Ц Ц Г К К Г З С С З Щ Ц Ц З С С С С З З С С З Щ Ц Ц З С С З З С Т; О Ф Х Ш А Ш А К К Т;34
55;fish 22 1; О И К К Д Д А А Д Д А К К А Ш Х Х Ш Д С С Д А А А А А А А Д Д С С Д Ш Х Ц Щ Г Щ Ц Ф О О И К К Л Е Р; О Ф Ф Х Ш А Ш А Д Т;44
56;fish 22 2; О Ф Ф Х Ш А А Ш А Ф Ф Х Ш А А Д С С Д А А А Ш Х Х Ш Д С С Д Ш Х Х Х Ц Щ З С С З К К Г З С С З Щ Ц Ц Щ К Л Ж Т; О Ф Х Ш А Д С С С Т;46
57;fish 22 3; У О И К Ш Х Ц Щ К Л Ж Ж В Ж С С С С Ж Л К Щ Ц Х Ф Ф Х Х Х Ш А Ш Х Ц Ц Х Ш А А А А Ш Х Ц Щ З С С З Г З С С З Г К Л Ж Ж Л Л Ж Т; О Ф Ф Х Ш А К К К Т;56
58;fish 22 4; О И К А Д С С Д Ш Х Ц Ц Х Ш А Д С С Д К Л Е С Д Ш Х Ц Г З З Г Щ Ц Х Ш К К Д С Р; О Ф Х Ш А Ш А Ш Х Т;34
59;fish 23 1; О И И И К А А К К А Ш Х Ц Щ Г К Л Ж Т; О Ф Х Ш А Ш А Д С Т;16
60;fish 23 2; О Ф Х Х Ц Щ З С С З Щ Ц Х Ш А Ш Х А Ц Ц Х Ш А Д С С Д А К К Д Д Ш Х Ц Щ З С Т; О Ф Х Ш А Ш А Д С Т;30
61;fish 23 3; О Ф Х Ш А Ш Х Х Ш А Д С С Д Ш Х Ц Щ К Л Ж С З К К З С С З Щ Ц Х Ш Д Д Ш Х Ц Щ З С С З Г З С Ж Ж Т; О Ф Х Ш А Ш А К К Т;40
62;fish 23 4; О Ф Х Ш А А Ш Х Ц Щ К К Г Щ Ц Х Ш Д С Р; О Ф Х Ш А Ш Х Ц Щ Т;11
63;fish 23 5; О Ф Х Ш Д С Е Б Л Л С С Р; О Ф Ф Ф Ц Щ К Л Л Т;9
64;fish 23 6; О И Л Е С Д А Ш Х Ц Ц Ш Х З С С З Г Щ Ц Х Х Х Ш Д С Р; О Ф Х Ш А К К К К Т;24
65;fish 23 7; О О О И К А К К А Ш Х Ц Ц Х Ш Д С Е Л И М М И К К Л Л И М К К Л Ж Т; О Ф Х Ш А Ш Х Ц Щ Т;29
66;fish 24 1; О И К А Д С С Д А К К Д С С Д К Л Б Е Р Р Е Л И О О М К Г К К Щ Ц Х Х Ц Щ К Л Ж Т; О Ф Ф Ф Ц Щ К Л Л Т;36
67;fish 24 2; О Ф Х Ш А Д С С Д А Д С С Д Ш Х Ц Щ Г Г Щ Ц Х Ш А К Л Е Р; О Ф Х Ш А К К К К Т;23
68;fish 24 3; О Ф Х Х Ц Щ Г К К Г З С С З Г З С С З Ц Х Ш К К А Ш Х Ц Щ Г Ц З С Т; О Ф Ф Ф Ф Ц Щ К Л Т;30
69;fish 24 4; О М К Г Г З С Т; О Ф Х Ш А К К К К Т;8
70;fish 24 5; О М К Г З С С З Щ Ц Х Х Ц Г З С С З Г К Л Л К К Л Ж Т; О Ф Ф Ц Щ К Л Л Ж Т;21
71;fish 24 6; О Ф Х Ц Щ К К З С С З Г З З Щ Ц Ц Щ Г К К К Л Ж Т; О Ф Х Ш А К К К К Т;18
72;fish 24 7; О Ф Х Ш А Ш Х Ф М К Г К К Г Щ Ц Х Х Ц Щ З С С З Щ Ц Х Х Ц Ц Х Х Ц Ц Х Ш А К Л Е Р; О Ф Х Ш А К К К К Т;32
73;fish 25 1; О И К А Ш Х Ф О О И К А Д С Р; О Ф Х Ш А Д С С С Т;11
74;fish 25 2; О Ф Х Ш А К К Ш Х Ц Щ Г З С С З К Л Ж Т; О Ф Х Ш А Д С С С Т;13
75;fish 25 3; О М К Г З С С З Г З С С З З С Т Т Ж Л К Щ Ц Х Ш А Д С Р; О Ф Х Ш А К К К К Т;25
76;fish 25 4; О М М И К Ш Х Ц Щ Г Щ Ц Ц К К Ц Х Ш А К К Ш Х Ц Ц Х Ш А К Л Е Р; О Ф Х Ш А Ш Х Ц Щ Т;25
77;fish 25 5; О М К Л Л К Г З С Ж Л Л Ж С С С С С С Т; О Ф Ф Ф Ц Щ К Л Ж Т;17
78;fish 25 6; О Ф Х Ш К К Ш Х Ц Ц Х Ц Ц Х Х Ц Ц Х Х Ц Г К К Ц Х Х Ц Г З С С С С С С С Т; О Ф Х Ш А К К К К Т;30
79;fish 25 7; О И К Д С С Д Ш Х Х Ш А К К Ш Х Ц Щ Г К К К М Л Ж Т; О Ф Х Ш А К К К К Т;18
80;fish 26 1; О Ф Щ Ц Г Щ Ц Х Ш А Д С Р; О Ф Х Ш А К К К Л Т;9
81;fish 26 2; О И К А Д С С Д А К К А Д С Е И И И М К Г К Л Ж Т; О Ф Х Ш А К К К Л Т;19
82;fish 26 3; О И И И К А Д С С Д Ш Х Ц Щ Г К Л Ж Т; О Ф Х Ш А К К К К Т;16
83;fish 26 4; О Ф Х Ш А Ш Х Ц Щ Г К Л Ж Т; О Ф Х Ш А К К К К Т;8
84;fish 26 5; О М Л Ж Т Т С З К Л Ж Т; О Ф Ф Х Ш А К Л М Т;9
85;fish 26 6; О М К З С Т; О Ф Х Ш А К К К К Т;7
86;fish 26 7; О М К К Л В Л К К Л Ж Т; О Ф Х Ш А К К К К Т;9
87;fish 26 8; О М К З С Т; О Ф Х Ш А К К К К Т;7
88;fish 27 1; О Ф Х Ш А Ш Х Ц Щ Г Г Г З С Т; О Ф Ф Х Ш А Ш А К Т;10
89;fish 27 2; О И К Ш Х Ц Щ Г Щ Ц Х Ш А Ш Х Ц Щ К Л Ж Т; О Ф Х Ш А Д С С С Т;17
90;fish 27 3; О И К Д С С Д А Д С С Д А Ш Х Ц Щ З С Т; О Ф Х Ш А К К К К Т;18
91;fish 27 4; О Ф Х Ш Ш Х Ц К К К Л В Л К Щ Ц Х Ш А Ш Х Ц Ц Х Ш Д С Р; О Ф Х Ш А Ш Х Ц Щ Т;20
92;fish 27 5; О М К З С С С С С Т; О Ф Ф Ф Ц Щ К Л Л Т;9
93;fish 27 6; О М К З С Т; О Ф Х Ш А К К К К Т;7
94;fish 27 7; О И К А Ш Х Ц Щ З С Т; О Ф Х Ш А К К К К Т;9
95;fish 27 8; О И К Д С Р; О Ф Х Ш А К К К К Т;7
96;fish 27 9; О И К А Ш Х Ф Ф Ц Щ К Л М О О И Л Б Л К Д С С Д А Д С Р; О Ф Х Ш А Д С С Д Т;22
97;fish 27 10; О М Л Ж Т Т С З Г З С С З Г З С Т; О Ф Х Ш А К К К Л Т;16
98;fish 5 1;  Н О М М О О Ф Щ Щ К Л Б Л М О О Ф Ц Щ К К Г К О Ж С С Т Т С С С С С З Щ Ц Ц Щ Ц Ф О О И И И Л Л К К Л Е С С Р; О Ф Ф Ф Ф Ц Щ К Л Т;48
99;fish 5 2; О Ф Ф И М Л Ж С С Ж Л Л Л К Щ Ц Ф О О Ф Ц Щ К Л Ж С С Ж Л Л Л М М Л Ж С С Т; О Ф Ф Ф Ц Щ К Л Л Т;29
100;fish 5 3; О И К А Ш Х Ц Щ К Л Л К Щ Ц Х Ш А Ш Х Ц Щ З С Ж Л М И И И К Ш Х Х Ш Д С С Д Ш Х Ц З С С З Ц Х Ш А Ш Х Х Ш К Л Л К Ш Х Х Ш Д С С Д Ш Х Х Ш К К Д С Р; О Ф Ф Ф Ф Ц Щ К Л Т;69
101;fish 6 1; У О О О О О М Л Ж С Т; О Ф Ф Х Ш А К Л К Т;10
102;fish 6 2; О Ф Ф Ф Ц Щ К Л Ж Т; О Ф Х Ш А К К К Л Т;7
103;fish 6 3; О Ф Ц З З К Л Л К Г Щ З С С С С С Ж Л К З С С З Щ Ц Х Х Ц Щ Ц Х Ш А Ш Х Х Ш А К К Ш Х Х Ш Ш Х Ц Щ К Л Ж С З К Л Л К З З Щ Ц Ц Щ З С Ж Л Л Ж С З Щ Ц Ц Ц Х Ш Д С С С С Д А Ш Х Х Ш Д Д Ш Х Ц Г С Т; О Ф Ф Х Ш А К К К Т;89
104;fish 6 4; О Ф Х Ш А Ш Х Ц Щ З С Ж Ж Т; О Ф Х Ш А Ш Х Ц Щ Т;5
105;fish 6 5; О О О И И Ф Ц Ц Ц Щ З С Ж Л К Щ Ц Х Х Ц З С С С Ж Л К Г З З Щ Ц Ф Ф Х Х Ф И И И Л Е С Д К К А Ш Х Х Ш Д С Е Л К Ш Х Ц Щ З З Щ Ц Ц З С С З Щ Ц Ц З З Ц Ц Ц Х Ш А К К Д С С Д Ш Х Х Ш Д С С С С С Р; О Ф Ф Ф Ц Щ К Л Ж Т;90
106;fish 7 1; О Ф Х Ш А Ш Х Ц Щ К К З С С З Г Щ Ц Х Х Ф О О И Л К Д С С Д А Ш Х Ц Щ К Л М Ф Ц Щ З С С З К К Щ Ц Ц Ц Х Ш Д С С Д Ш Х Х Ш Д С С Д Ш Х Ц З С Ж Л М М Л Л М Ф Х Ш К Л Е С С С Д Ш Ш Д С Р; О Ф Ф Х Ш А Ш Х Ц Т;84
107;fish 7 2; О И Л Е С Д А К К Ш Х Х Ш Ш Х Ц Щ К Л Л М О О И Л Е Б Б Л Л Е Р; О Ф Х Ш А Д С С Д Т;29
108;fish 8 1; О Ф Ц Щ К Л Ж С З Щ Ц Ф Ф Ц Ц Х Ш А Ш Х Х Ш К К Д С Е Б Б Л Л Б Л К Ш Х Ф Ф Х Ш А Д С С Д Ш Х Х Ш Д С Р; О Ф Ф Х Ш А Ш Х Ц Т;44
109;fish 8 2; О М Л Л М И Л Е С Д Ш Х Ц Щ З С Т; О Ф Х Ш А Ш А К К Т;15
110;fish 8 3; О М Л В Л К З С Т; О Ф Ф Х Ш А К К К Т;8
111;fish 8 4; О Ф Ф О О Ф Х Ш А Ш Х Х Ш Д Д Ш Х Х Ш К К К Л Л К Д С Р; О Ф Х Ш А Ш Х Ц Щ Т;21
112;fish 8 5; О О О И К А К Л Л И И К К Л Е С Д Ш Х Ц Щ Г К Л Л К Щ Ц Ф Ф Ц Щ Г З С Т; О Ф Ф Ф Ф Ц Щ К Л Т;31
113;fish 8 6; О Ф Х Х Ц Щ Г К Л Л К Щ Ц Х Ш А К И И К А А А А Ш Х Х Ш А Д С Е Л И И И И И И К А Ш Х Ц Щ Г К К Г З С С З Г З З Г Щ Ц Х Х Ц Щ Г З С Т; О Ф Х Ш А К К К К Т;58
114;fish 9 1; О Ф Ф О О И Л Б Е С Д А К К А Д С С Д К К А Д С Р; О Ф Х Ш А Д С С Д Т;18
115;fish 9 2; О Ф Х Ш А Ш Х Х Х Х Ш Д С Е Л К А Д С С Д А А К К А Д С Е Л К А Д С С Д А А Д С Е Л К А Д С С Д А А Ш Х Ц Щ Г З С С З Щ Ц Х Ш А Ш Х Ц Щ З С С З Щ З С Ж Л К Г К К З З Щ Ц Х Ш А Ш Х Ц Щ Г З С Т Т Ж Л К Г Щ Ц Х Х Ц З С Т; О Ф Х Ш А Д С С Д Т;100
116;fish 9 3; О О О Ф Х Ш А К И Ф Х Х Ц З З К Л Л К Г З С Ж Л М Ф Х Ш А Ш Х Х Ш А Ш Х Ц К Л Л К Г З С С З Щ Ц Х Ш А А А Ш Х Х Ш А Д Д Ш Х Х Ш Д С Е Л К Д С С Д Ш Х Ц З С Ж Л К Г Г Г З З З С Ж Л Л Ж С С Т; О Ф Х Ш А А А А Д Т;86
117;fish 10 1; О Ф Ф О О Ф Ф И Л Л К Д С Р Р С Д А Ш Х Ц Ц Х Х Ф М К Г Щ Ц Х Ш Д Д Ш Х Ц Х Ш К К Ш Х Ц Щ З З Щ Ц Х Ш Д С Р; О Ф Х Ш А К К Л К Т;48
118;fish 10 2; О Ф Ф Ф Ц Щ Г К Л Л К З С С З Щ Ц Ф М Л Ж Ж В Ж С С Т; О Ф Х Ш А Д С С С Т;22
119;fish 11 1; О Ф Х Ш А К И И К А А А Д Д А Ш Х Ц Ш Г К М И Л Е С Д Ш Х Ц Щ Г К К Щ Ц Х Ш А К К А К К А Д Д А А Ш Х Ц Щ Г З С Т; О Ф Х Ш А К К К К Т;48
