;input;path;generated;Lev
27540;person 16 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27541;person 17 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27542;person 18 1;Ы О Ф Ц Г Ц Г Ц Х А А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;10
27543;person 19 1;Ы О М Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27544;person 20 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27545;person 21 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27546;person 22 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27547;person 23 1;Ы О Ф Ц Г Ц Х А А Д А Х А К Л Е Б Р; Ы О Ф Х А Х Ц Г З Т;12
27548;person 24 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27549;person 25 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27550;person 26 1;Ы О И Л Б Е Ш С Д А Х А Х Ц Г Я Э В Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;15
27551;person 27 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27552;person 28 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27553;person 29 1;Ы О Ф Ц Г Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27554;person 30 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27555;person 31 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27556;person 1 1;Ы О М Я Г Ц Ф О И К А Д С Ш Р; Ы О Ф Х А Д С Ш Р Т;7
27557;person 2 1;Ы О М Э В Ж В Т Т; Ы О Ф Х А Х Ц Г З Т;7
27558;person 3 1;Ы О М Э В Ж Ж В Т; Ы О Ф Х А Х Ц Г З Т;7
27559;person 4 1;Ы О И Л Б Е Р; Ы О Ф Х А Х Ц Г З Т;7
27560;person 5 1;Ы О И К А Х Ц Г Г Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;11
27561;person 6 1;Ы О Ф Ц Г Ц Х А К Л Б Е Р; Ы О Ф Х А Х Ц Г З Т;8
27562;person 7 1;Ы О Ф Ц Г Ц Х А К И Л Е Б Р; Ы О Ф Х А Х Ц Г З Т;9
27563;person 8 1;Ы О Ф Ц Г Ц Х А К И Л Б Е Р; Ы О Ф Х А Х Ц Г З Т;9
27564;person 9 1;Ы О Ф Ц Г Ц Х А А Х Ц Г Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;8
27565;person 10 1;Ы О Ф Ц Г Ц Х А К И Л Б Е Р Р; Ы О Ф Х А Х Ц Г З Т;10
27566;person 11 1;Ы О Ф Х А Д Д А Х Ц Г Я М Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;9
27567;person 12 1;Ы О Ф Ц Г Ц Х А К И О Ы Ы О Ф Ц Ц Г Ц Ф О И Л Б Е Р Р; Ы О Ф Х А Х Ц Г З Т;20
27568;person 13 1;Ы О Ф Ц Г Ц Х А Х Ф О М Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;10
27569;person 14 1;Ы О Ф Х А А Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;6
27570;person 15 1;Ы О Ф Ц Г Ц Х А Х Ф О М Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;10
27571;person 16 1;Ы О Ф Ц Г Ц Х А К И Л Б Е Б Р Р; Ы О Ф Х А Х Ц Г З Т;11
27572;person 17 1;Ы О М Э В Ж Т Т; Ы О Ф Х А Х Ц Г З Т;7
27573;person 18 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27574;person 19 1;Ы О И Л Б Е Р Ш С Д А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;11
27575;person 20 1;Ы О Ф Ц Г Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;6
27576;person 21 1;Ы О Ф Ц Г Ц Х А К Л Б Е Р; Ы О Ф Х А Х Ц Г З Т;8
27577;person 22 1;Ы О Ф Ц Г З Г Ц Х А Х Ф О М Я Г З З Г Ц Х А Д С Ш Р Е Б Е Р; Ы О Ф Х А Х Ц Г З Т;22
27578;person 23 1;Ы О Ф Х А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;3
27579;person 24 1;Ы О Ф Х А Х Ц Г Ц Х А Д С Ш Р Е Б Е Р; Ы О Ф Х А Х Ц Г З Т;11
27580;person 25 1;Ы Ы Ы О М Э В Ж Т Щ У З Г Ц Г Ц Х А К И О Ы Ы О М Э Ж Т; Ы О Ф Х А Х Ц Г З Т;24
27581;person 26 1;Ы О И Л Б Е Р Р; Ы О Ф Х А Х Ц Г З Т;7
27582;person 27 1;Ы О М Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;7
27583;person 28 1;Ы О И Л Е Б Р Р; Ы О Ф Х А Х Ц Г З Т;7
27584;person 29 1;Ы О М Ф Ц Г Г Ц Х А Х Ц Г Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;9
27585;person 30 1;Ы О Ф Х А Х Ц Г Ц Г Я Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;7
27586;person 31 1;Ы О Ф Х А Х Ц Г Г Я М О Ф Ц Г Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;11
27587;person 32 1;Ы О Ф Х А Х Ц Г Г Ц Х А Х Ф О Ы Ы О И Л Б Б Е Ш С Д А К И К И Л Б Е Б Р; Ы О Ф Х А Х Ц Г З Т;28
27588;person 33 1;Ы О Ф Х А А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;4
27589;person 34 1;Ы О Ф Ц Г Г Ц Х А Д С Ш Р Е Б Е Р; Ы О Ф Х А Х Ц Г З Т;12
27590;person 1 1;Ы О Ф Ц Г З У Щ Т Ж В Э Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Д С Ш Р Т;12
27591;person 2 1;Ы О М Я Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;7
27592;person 3 1;Ы О И К А Д С Ш Е Б Л И О Ф Х А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;14
27593;person 4 1;Ы О М Я Г З У Щ Т Ж В Э М О О Ф Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;17
27594;person 5 1;Ы О М Я Г З У Щ Т Ж В Э М О И И К А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;19
27595;person 6 1;Ы О О М Я Г З У Щ Т Ж В Э Я Г З У Щ Т Ж В Э М О Ф Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;26
27596;person 7 1;Ы О М Я Г Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;10
27597;person 8 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27598;person 9 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27599;person 10 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27600;person 11 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27601;person 12 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27602;person 13 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27603;person 14 1;Ы О М Я Г Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;10
27604;person 15 1;Ы О М Я Г Г З Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;11
27605;person 16 1;Ы О М Я Г Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;10
27606;person 17 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27607;person 18 1;Ы О Ф Ц Г Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;9
27608;person 19 1;Ы О М Я Г Ц Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;11
27609;person 20 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27610;person 21 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27611;person 22 1;Ы О М Я Г Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;10
27612;person 23 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27613;person 24 1;Ы О М Я Г Ц Х А Д А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;10
27614;person 25 1;Ы О М Я Г Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;10
27615;person 26 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27616;person 27 1;Ы О Ф О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;9
27617;person 28 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27618;person 29 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27619;person 30 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27620;person 31 1;Ы О М М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;9
27621;person 32 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27622;person 33 1;Ы О О М О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;11
27623;person 34 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27624;person 35 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27625;person 36 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27626;person 37 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27627;person 38 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27628;person 39 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27629;person 1 1;Ы О И К А Д С Ш Р; Ы О Ф Х А Д С Ш Р Т;2
27630;person 2 1;Ы О И Л Б Е Р Ш С Д А А Х Ф О М Э В Ж Щ У З Г Я М О Ф Х А Д С Ш Е Б Л И О М Я Г Ц Х А Д С Ш Е Б Л И О Ф Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;49
27631;person 3 1;Ы О И К А Д Д А А Х Ц Г Г З У Щ Т Ж Э М О Ф Х А Д С Ш Р Е Б Б Е Р Р; Ы О Ф Х А Х Ц Г З Т;27
27632;person 4 1;Ы О И Л Е Р Ш С Д А Х Ц Г З У Щ Ж В Э М О И И О Ы Ы О И И К А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;28
27633;person 5 1;Ы О М Э В Ж Т Щ У З Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;14
27634;person 6 1;Ы О М Я Г Ц Х А А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;9
27635;person 7 1;Ы О И К А Д Д А Х Ц Г Я Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;10
27636;person 8 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27637;person 9 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27638;person 10 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27639;person 11 1;Ы О Ф Ц Г Я Г З З Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;12
27640;person 12 1;Ы О О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27641;person 13 1;Ы О М О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;9
27642;person 14 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27643;person 15 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27644;person 16 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27645;person 17 1;Ы О М Я Г Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;9
27646;person 18 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27647;person 19 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27648;person 20 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27649;person 21 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27650;person 22 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27651;person 23 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27652;person 24 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27653;person 25 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27654;person 26 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27655;person 27 1;Ы О Ф Ц Г З Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;9
27656;person 28 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27657;person 29 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27658;person 30 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27659;person 31 1;Ы О М Я Г Я Г Ц Х А Д С Ш Р Р; Ы О Ф Х А Х Ц Г З Т;11
27660;person 32 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27661;person 33 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27662;person 34 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27663;person 1 1;Ы О И К А Д С Ш Р Е Б Л И О Ф Ц Г Я Э Ж Т; Ы О Ф Х А Д С Ш Р Т;14
27664;person 2 1;Ы О Ф Х А Д С Ш Е Б Л И К А Д С Ш Р Е Б Л И О О М Я Г З З Г Ц Х А К И О О М Э Ж Т; Ы О Ф Х А Х Ц Г З Т;34
27665;person 3 1;Ы О Ф Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;6
27666;person 4 1;Ы О М Я Г Ц Ф О Ы Ы О М Э Ж Т; Ы О Ф Х А Х Ц Г З Т;12
27667;person 5 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27668;person 6 1;Ы О М Я Г З З Г Ц Х А К Л Б Е Р; Ы О Ф Х А Х Ц Г З Т;12
27669;person 7 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27670;person 8 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27671;person 9 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27672;person 10 1;Ы О И К А Д Д А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;8
27673;person 11 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27674;person 12 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27675;person 13 1;Ы О И К А Х Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;5
27676;person 14 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27677;person 15 1;Ы О М Я Г Ц Х А Д С Ш Р Е Б Е Р; Ы О Ф Х А Х Ц Г З Т;12
27678;person 16 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27679;person 17 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27680;person 18 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27681;person 19 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27682;person 20 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27683;person 21 1;Ы О И К А Х А Х Ц Г З Г З У Щ Т Ж В Э М О И Л Е Р; Ы О Ф Х А Х Ц Г З Т;17
27684;person 22 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27685;person 23 1;Ы О М Я Г Г Ц Х А А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;10
27686;person 24 1;Ы О М Я Г Ц Х А Д С Ш Р Е Б Л И О О М Я Г З У З Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;26
27687;person 25 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27688;person 26 1;Ы О М Я Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27689;person 1 1;Ы О И И К А Х Ф О М Я Г Г Ц Ф О М Я Г Ц Х А Д С Ш Р Е Б Л И О Ы Ы О М М Э В Ж Т; Ы О Ф Х А Д С Ш Р Т;31
27690;person 2 1;Ы О Ф Х А Х А Д С Ш Е Б Л И И О М Э В Ж Т Щ У З Г Ц Х А Д С Ш Р Е Б Л И И О Ф Ц Г Я М Э Ж В Т; Ы О Ф Х А Х Ц Г З Т;39
27691;person 3 1;Ы О М Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;7
27692;person 4 1;Ы О И Л Е Р Ш С Д А Х Ц Г Ц Г З У Щ Т; Ы О Ф Х А Х Ц Г З Т;12
27693;person 5 1;Ы О Ф Х А К И О Ф Ц Г Я М Э В Ж Т Щ У З Г Ц Х А К И Л Б Е Р; Ы О Ф Х А Х Ц Г З Т;22
27694;person 6 1;Ы О Ф Х А Х Ц Г Ц Ф О Ы Ы О О М Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;12
27695;person 7 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27696;person 8 1;Ы О М О Ф Ц Г Ц Х А К Л Е Р; Ы О Ф Х А Х Ц Г З Т;9
27697;person 9 1;Ы О М Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;8
27698;person 10 1;Ы О Ф Х А Х Ц Г Ц Ф О О И Л Е Б Р; Ы О Ф Х А Х Ц Г З Т;9
27699;person 11 1;Ы О М О Ф Ц Г Ц Х А К И О О М Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;14
27700;person 12 1;Ы О Ф Ц Г Ц Х А Д С Ш Р Е Б Л И К А Д А К Л Е Р; Ы О Ф Х А Х Ц Г З Т;19
27701;person 13 1;Ы О Ф Ц Г Ц Х А Д С Ш Р; Ы О Ф Х А Х Ц Г З Т;7
27702;person 14 1;Ы О М О Ф Ц Г Ц Х А А К И О О М О О М Э В Ж Т; Ы О Ф Х А Х Ц Г З Т;18
