;input;path;generated;Lev
29050;monkey 8 3; О И К А К И М Я Я М И К А К И М Я Г Я М И К К И М Э Ж Т; О И К А К И М Я Г Т;19
29051;monkey 8 4; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29052;monkey 8 5; О И К А К И О О И К Д С Р; О И К А К И М Я Г Т;7
29053;monkey 8 6; О И К А К И М Я Г Я М И К А К И М Э В Ж Ж Э Я Г Я М И К А К Л Е Р; О И К А К И М Я Г Т;24
29054;monkey 8 7; О И К А К М Я Г З З Г Я Э Ж Т; О И К А К И М Я Г Т;8
29055;monkey 8 8;О И К А К И М Я Г Я М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;14
29056;monkey 8 9; О И К А К И М М О О М Э Ж Т; О И К А К И М Я Г Т;7
29057;monkey 8 10; О И К А К И М Я Г Я М И К А К И М Я Г З У Т; О И К А К И М Я Г Т;13
29058;monkey 8 11; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29059;monkey 8 12; О М Я Г Я М И К А К И М Э Э М И И И К А К И М Э Ж Т; О И К А К И М Я Г Т;19
29060;monkey 8 13; О И К А К Л Л И М Э Ж Т; О И К А К И М Я Г Т;5
29061;monkey 8 14; О М Я Г З У Т; О И К А К И М Я Г Т;8
29062;monkey 8 15;О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29063;monkey 8 16; О И К А К И О О М Э Ж Т; О И К А К И М Я Г Т;5
29064;monkey 8 17; О И К А К И М Я Г Я М И Л Е Р; О И К А К И М Я Г Т;6
29065;monkey 8 18; О М Я Г Я Э Э М О О М Я Г Я М И К А К И М Э Ж Т; О И К А К И М Я Г Т;17
29066;monkey 8 19; О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29067;monkey 8 20; О М Я Г Я М И К А К И О О М Э Ж Т; О И К А К И М Я Г Т;10
29068;monkey 8 21; О И К А К И М Я Г Я Э В Ж Т; О И К А К И М Я Г Т;5
29069;monkey 8 22; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29070;monkey 9 1; О М Я Г Я М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;9
29071;monkey 9 2; О М Я Г Я Э Ж Ж В Ж Т; О И К А К И М Я Г Т;10
29072;monkey 9 3; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29073;monkey 9 4; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29074;monkey 9 5; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29075;monkey 9 6; О М Я Г Я Я Г Я Э Ж Т; О И К А К И М Я Г Т;9
29076;monkey 9 7; О И К А К И М Я Г Я М И К А К И О О М Э Ж Т; О И К А К И М Я Г Т;13
29077;monkey 9 8; О И К К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;5
29078;monkey 9 9; О М Я Г Я М И К А К И О О М Я Г Я Э Ж Т; О И К А К И М Я Г Т;11
29079;monkey 9 10;О Я М Г З У Т; О И К А К И М Я Г Т;8
29080;monkey 9 11;О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29081;monkey 9 12; О И К А К И М Я Я Э Ж Т; О И К А К И М Я Г Т;4
29082;monkey 9 13; О И К А К И М Я Г Я Э В Ж Т; О И К А К И М Я Г Т;5
29083;monkey 9 14;О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29084;monkey 9 15;О М Э Ж Т; О И К А К И М Э Ж Т;6
29085;monkey 9 16;О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29086;monkey 9 17;О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29087;monkey 9 18;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29088;monkey 9 19;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29089;monkey 10 1; О И К А К И М Я Г Я Э Ж У З Г Я М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;20
29090;monkey 10 2;О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29091;monkey 10 3;О И К А К И М Я Г Я М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;14
29092;monkey 10 4; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29093;monkey 10 5; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29094;monkey 10 6; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29095;monkey 10 7; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29096;monkey 10 8; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29097;monkey 10 9; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29098;monkey 10 10; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29099;monkey 10 11; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29100;monkey 10 12; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29101;monkey 10 13; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29102;monkey 10 14; О И К А К И М Я Г З У Ж Ж Т; О И К А К И М Я Г Т;5
29103;monkey 10 15; О М Я Г З У Т; О И К А К И М Я Г Т;8
29104;monkey 10 16; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29105;monkey 10 17; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29106;monkey 10 18; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29107;monkey 10 19; О М Я Г З У Т; О И К А К И М Я Г Т;8
29108;monkey 10 20; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29109;monkey 10 21; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29110;monkey 10 22;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29111;monkey 10 23;О М Я Г Я Э Ж Т; О И К А К И М Я Г Т;8
29112;monkey 10 24;О М Я Я Э Ж Т; О И К А К И М Я Г Т;8
29113;monkey 10 25;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29114;monkey 10 26;О М Э Ж Т; О И К А К И М Я Г Т;8
29115;monkey 11 1; О И К А К И М Я Г Я М И К А К И М Э Ж Т; О И К А К И М Я Г Т;11
29116;monkey 11 2; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29117;monkey 11 3; О И К А К И М Я Г З У Ж Э М И К А К И М Я Г Я Э Ж Т У З Г Я М И К А К И М Я Г З У Т; О И К А К И М Я Г Т;33
29118;monkey 11 4; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29119;monkey 11 5; О И К А   К И М Я Г З У Т; О И К А К И М Я Г Т;3
29120;monkey 11 6; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29121;monkey 11 7; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29122;monkey 11 8; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29123;monkey 11 9; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29124;monkey 11 10; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29125;monkey 11 11; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29126;monkey 11 12; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29127;monkey 11 13; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29128;monkey 11 14; О И К К И М Я Я Э Ж Т; О И К А К И М Я Г Т;5
29129;monkey 11 15; О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29130;monkey 11 16; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29131;monkey 11 17; О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29132;monkey 11 18; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29133;monkey 11 19; О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29134;monkey 11 20; О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29135;monkey 11 21;О И И М Э Ж Т; О И К А К И М Я Г Т;6
29136;monkey 11 22;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29137;monkey 11 23;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29138;monkey 11 24;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29139;monkey 11 25; О М Я Г Я Э Ж Т; О И К А К И М Я Г Т;8
29140;monkey 11 26; О И И М Э Ж Т; О И К А К И М Я Г Т;6
29141;monkey 11 27; О И И К К И М Э Ж Т; О И К А К И М Я Г Т;5
29142;monkey 12 1; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29143;monkey 12 2; О И К А К И М Я Г Я М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;14
29144;monkey 12 3; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29145;monkey 12 4; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29146;monkey 12 5; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29147;monkey 12 6; О И К А К И М Я Г Я Я З У Т; О И К А К И М Я Г Т;5
29148;monkey 12 7; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29149;monkey 12 8; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29150;monkey 12 9; О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29151;monkey 12 10; О И К А К И М М М Э Ж Т; О И К А К И М Я Г Т;5
29152;monkey 12 11; О М Э Ж Т; О И К А К И М Я Г Т;8
29153;monkey 12 12; О И К К И М Я Я Э Ж Т; О И К А К И М Я Г Т;5
29154;monkey 12 13;О И К А К И М Я Я Э Ж Т; О И К А К И М Я Г Т;4
29155;monkey 12 14; О М Я Г Я Э Ж Т; О И К А К И М Я Г Т;8
29156;monkey 12 15; О И Л Л И М Э Ж Т; О И К А К И М Э Ж Т;4
29157;monkey 12 16; О И Л Л И М Э Ж Т; О И К А К И М Я Г Т;6
29158;monkey 12 17; О И Л Е Р; О И К А К И М Я Г Т;7
29159;monkey 12 18;О И К К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;5
29160;monkey 12 19; О И К К И М Э Ж Т; О И К А К И М Я Г Т;4
29161;monkey 13 1; О И К К И М Я Г З У Ж Ж У З Я М И К К И М Э Ж Т; О И К А К И М Я Г Т;17
29162;monkey 13 2; О И К А К И М Я Г Я М И К А К И М Я Г З У Т; О И К А К И М Я Г Т;13
29163;monkey 13 3; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29164;monkey 13 4; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29165;monkey 13 5; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29166;monkey 13 6; О И К А К И М Я Г Я М И К А Д Д К И М Э Ж Т; О И К А К И М Я Г Т;13
29167;monkey 13 7; О М М О О И К А К И М Э Ж Т; О И К А К И М Я Г Т;7
29168;monkey 13 8;Х П О И К А К И М Я Г Я М И К А К И М Э Ж Т; О И К А К И М Я Г Т;13
29169;monkey 13 9;Х П О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;6
29170;monkey 13 10; О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29171;monkey 13 11; О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29172;monkey 13 12; О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29173;monkey 13 13;Х П О И М Э Ж Т; О И К А К И М Я Г Т;8
29174;monkey 13 14;Х П О И К К И М Э Ж Т; О И К А К И М Я Г Т;6
29175;monkey 13 15; О И Л Е Р Р Е Л К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;10
29176;monkey 13 16;Х П О И К А К И М Э Ж Т; О И К А К И М Я Г Т;5
29177;monkey 13 17; О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29178;monkey 13 18; О И И М Э Ж Т; О И К А К И М Я Г Т;6
29179;monkey 13 19;Х П О М Э Ж Т; О И К А К И М Я Г Т;9
29180;monkey 13 20;Х П О И К А К И М Э Ж Т; О И К А К И М Я Г Т;5
29181;monkey 13 21;Х П О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;6
29182;monkey 13 22;О М М И К К И М Я Я М Э Ж Т; О И К А К И М Я Г Т;8
29183;monkey 13 23;Х П О М Э Ж Т; О И К А К И М Я Г Т;9
29184;monkey 13 24;Х П О И К А К И М Я Э Ж Т; О И К А К И М Я Г Т;5
29185;monkey 14 1; О И К А К И М Я Г Я М И К А К И М Я Г Я М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;24
29186;monkey 14 2;Х П О И К А К И М Я Г Я М И К А К И М Я Г З У Т; О И К А К И М Я Г Т;15
29187;monkey 14 3;Х П О М Я Г Я М И К А К И М Я Г Я М И К А К И М Я Г З У Т; О И К А К И М Я Г Т;20
29188;monkey 14 4;Х П О И К А К И М Я Г Я Э Ж Ж Э Я Г Я М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;23
29189;monkey 14 5;О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29190;monkey 14 6;О И К А К И М Я Г Я М И К А К И М Я Г З У Т; О И К А К И М Я Г Т;13
29191;monkey 14 7;О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29192;monkey 14 8;О И К А К И М Я Г Я М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;14
29193;monkey 14 9;О И К А К И М Я Г Я М И К А К И М Э Ж Т; О И К А К И М Я Г Т;11
29194;monkey 14 10;О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29195;monkey 14 11;О И И М Я Г З У Ж Ж Т; О И К А К И М Я Г Т;8
29196;monkey 14 12;О И К А К И М Я Г З У Т; О И К А К И М Я Г Т;3
29197;monkey 14 13;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29198;monkey 14 14;О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29199;monkey 14 15;О И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;4
29200;monkey 14 16;О И К А К И М Я Г Я М И Л Е Р; О И К А К И М Я Г Т;6
29201;monkey 14 17;О И К А К И М Я Г Я М И К А К И М Я Г Я Э Ж Т; О И К А К И М Я Г Т;14
29202;monkey 14 18;О М Я Я Э В Ж Т; О И К А К И М Я Г Т;8
29203;monkey 15 1;О М Я З У Т; О И К А К И М Я Г Т;8
29204;monkey 15 2;О И К К И М Э Ж Т; О И К А К И М Я Г Т;4
29205;monkey 15 3;О М Я З У Т; О И К А К И М Я Г Т;8
29206;monkey 15 4;О И К А К И М Я Г Я М И Л Е Р; О И К А К И М Я Г Т;6
29207;monkey 15 5;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29208;monkey 15 6;О И К А К И М Э Ж Ж Э М И Л Е Е Б Л К А К И М Э Ж Ж Э М И К А К И М Э Ж Т; О И К А К И М Я Г Т;30
29209;monkey 15 7;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29210;monkey 15 8;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29211;monkey 15 9;О И К А К И М Э Ж Ж Э М И Л Е Р; О И К А К И М Я Г Т;9
29212;monkey 15 10;О И К А К И И М И Л Л И М Э Ж Т; О И К А К И М Я Г Т;9
29213;monkey 15 11;О М Я Г Я М И К А К И М Э Ж Т; О И К А К И М Я Г Т;8
29214;monkey 15 12;О И К А К И М Э Ж Т; О И К А К И М Э Ж Т;1
29215;monkey 15 13;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29216;monkey 15 14;О И К А К И М Э Ж Т; О И К А К И М Я Г Т;3
29217;monkey 15 15;О И К К И М Я Г Я Э Ж Т; О И К А К И М Э Ж Т;5
